City Name,Number of Clients,Total Orders,Total Orders Value
תל אביב,569,2237,514043.3705
פתח תקווה,508,1906,436625.1586
ראשון לציון,474,1779,402035.9366
נתניה,350,1258,282665.4734
ירושלים,366,1228,263551.95
חיפה,360,1211,278266.6283
אשדוד,333,1203,273404.0398
רמת גן,313,1101,243060.1237
באר שבע,315,999,226385.702
חולון,301,994,211673.1166
רחובות,247,955,211807.1162
ראש העין,189,719,171419.0728
אשקלון,194,709,162943.8461
חדרה,176,683,156148.7743
גבעתיים,137,601,121920.4599
כפר סבא,171,596,129871.8118
באר יעקב,146,564,127940.1685
יבנה,143,523,128055.9509
בת ים,144,512,106637.286
הוד השרון,137,501,127330.2905
רמלה,129,496,119500.3635
הרצליה,140,479,113429.3112
מודיעין,134,458,98968.7344
נהריה,101,450,95062.4032
נס ציונה,111,414,98541.8164
קרית אתא,92,384,84169.7769
עפולה,115,373,80898.0736
מעלה אדומים,98,341,74984.3918
כרמיאל,80,328,72149.2467
רמת השרון,73,319,94613.1762
