Month,numofsales
Aug-15,76
Jun-15,33
Jul-15,7
Sep-15,76
Oct-15,38
Nov-15,55
Dec-15,142
Jan-16,114
Feb-16,157
Mar-16,130
Apr-16,173
May-16,85
Jun-16,137
Jul-16,242
Aug-16,121
Sep-16,114
Oct-16,123
Nov-16,108
Dec-16,152
Jan-17,252
Feb-17,134
Mar-17,168
Apr-17,280
May-17,356
Jun-17,477
Jul-17,463
Aug-17,601
Sep-17,602
Oct-17,527
Nov-17,458
Dec-17,701
Jan-18,568
Feb-18,401
Mar-18,547
Apr-18,432
May-18,454
Jun-18,457
Jul-18,536
Aug-18,590
Sep-18,521
Oct-18,535
Nov-18,651
Dec-18,506
Jan-19,660
Feb-19,524
Mar-19,666
Apr-19,547
May-19,533
Jun-19,570
Jul-19,573
Aug-19,623
Sep-19,663
Oct-19,556
Nov-19,587
Dec-19,469
Jan-20,430
Feb-20,347
Mar-20,2460
Apr-20,344
