,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
60,"מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון, ספריי מטהר אויר ניחוח בית מלון המקורי",נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.076588716,0.332695818,0.051812571,0.676503973,2.033400888,0.026331825,2.062789417
65," מבשם כביסה וטקסטיל בניחוח בית מלון המקורי, מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון",נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.113883335,0.332695818,0.076240981,0.669465649,2.012245456,0.038352471,2.018864845
64," מבשם כביסה וטקסטיל בניחוח בית מלון המקורי, נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH",מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,0.126401808,0.243588629,0.076240981,0.603163686,2.476156989,0.045450937,1.906104217
1,מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.243588629,0.332695818,0.144657915,0.593861527,1.784998472,0.063616997,1.643045972
4,מבשם כביסה וטקסטיל בניחוח בית מלון המקוריה,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.217856211,0.332695818,0.126401808,0.580207502,1.743957903,0.053921958,1.589604828
8,דלי סחבות לחות לניקוי ורענון הרצפה - ניחוח בית מלון,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.16986873,0.332695818,0.096496566,0.568065507,1.707462117,0.03998195,1.54491987
53,ג'ל כביסה בריח מבושם בית מלון 3 ליטרים, מרכך כביסה אולטרה מרוכז בניחוח בית מלון יוקרתי,0.169086325,0.188733374,0.095801095,0.566580977,3.002017953,0.063888863,1.871783615
66,"נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH, מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון",מבשם כביסה וטקסטיל בניחוח בית מלון המקורי,0.144657915,0.217856211,0.076240981,0.527043269,2.41922535,0.044726355,1.653732229
22,מבשם כביסה וטקסטיל בניחוח בית מלון המקורי,מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,0.217856211,0.243588629,0.113883335,0.522745411,2.146017296,0.060816039,1.584922154
3,ספריי מטהר אויר ניחוח בית מלון המקורי,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.198035295,0.332695818,0.102321134,0.516681299,1.553014107,0.036435619,1.38067114
16,נוזל לניקוי כלים בניחוח בית מלון ,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.118577762,0.332695818,0.060940624,0.513929619,1.544743247,0.021490298,1.372855058
10,נייר טואלט פטנט טישיו 90 מטר 36 יח',נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.155785447,0.332695818,0.079892202,0.512834821,1.541452561,0.028063035,1.369769866
7,פניני ריח בניחוח מרכך הכביסה בית מלון,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.103190472,0.332695818,0.052855777,0.51221567,1.539591547,0.018524738,1.368031198
52, מרכך כביסה אולטרה מרוכז בניחוח בית מלון יוקרתי,ג'ל כביסה בריח מבושם בית מלון 3 ליטרים,0.188733374,0.169086325,0.095801095,0.507600184,3.002017953,0.063888863,1.687477631
58,"נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH, ספריי מטהר אויר ניחוח בית מלון המקורי",מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,0.102321134,0.243588629,0.051812571,0.506372133,2.078800371,0.026888306,1.532351435
18,מבשם אויר שנמשך עד 24 שעות - ניחוח בית מלון,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,0.151525689,0.332695818,0.074763105,0.49340218,1.483042926,0.024351142,1.317226714
